Taxon,TSN,Collecting,Calflora-Records,Common Name,Dispersal,Lifeform,Status,Family,start-bloom,end-bloom,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,
Keckiella cordifolia,,X,145 records,Heart leaved keckiella,,Shrub,native,PLANTAGINACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Lasthenia californica,,X,20 records,Goldfields,,Annual herb,native,ASTERACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Lasthenia californica ssp. californica,,,1 record,California goldfields,,Annual herb,native,ASTERACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Lepidospartum squamatum,,X,25 records,Scalebroom,,Shrub,native,ASTERACEAE,Aug,Nov,,,,,,,,X,X,X,X,,,,,,,,,
Lonicera subspicata,,X,48 records,Southern honeysuckle,,Shrub,native,CAPRIFOLIACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Lupinus bicolor,,X,56 records,Lupine,,"Annual, Perennial herb",native,FABACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Malacothamnus fasciculatus,,X,603 records,Chaparral bush mallow,,Shrub,native,MALVACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Malacothrix saxatilis,,X,70 records,Cliff aster,,Perennial herb,native,ASTERACEAE,Jun,Dec,,,,,,X,X,X,X,X,X,,,,,,,,,
Malosma laurina,,X,178 records,Laurel sumac,,"Tree, Shrub",native,ANACARDIACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Marah macrocarpa,,X,136 records,Chilicothe,,"Perennial herb, Vine",native,CUCURBITACEAE,Jan,Apr,X,X,X,X,,,,,,,,,,,,,,,,
Melica imperfecta,,X,76 records,Coast range melic,,Perennial grass,native,POACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Muhlenbergia rigens,,X,7 records,Deergrass,,Perennial grass,native,POACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Penstemon centranthifolius,,X,44 records,Scarlet bugler,,Perennial herb,native,PLANTAGINACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Peritoma arborea,,X,48 records,Bladderpod,,Shrub,native,CLEOMACEAE,Nov,Jun,X,X,X,X,X,,,,,,X,X,,,,,,,,
Phacelia grandiflora,,X,108 records,Giant flowered phacelia,,Annual herb,native,BORAGINACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Phacelia parryi,,X,121 records,Parry's phacelia,,Annual herb,native,BORAGINACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Platanus racemosa,,X,108 records,California sycamore,,Tree,native,PLATANACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Pseudognaphalium beneolens,,,4 records,Cudweed,,Perennial herb,native,ASTERACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Pseudognaphalium biolettii,,X,87 records,Two-color rabbit-tobacco,,Perennial herb,native,ASTERACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Pseudognaphalium californicum,,X,42 records,Ladies' tobacco,,"Annual, Perennial herb",native,ASTERACEAE,Jan,Jul,X,X,X,X,X,X,X,,,,,,,,,,,,,
Pseudognaphalium canescens,,,11 records,Wright's cudweed,,Perennial herb,native,ASTERACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Pseudognaphalium leucocephalum,,,,White cudweed,,Perennial herb,native,ASTERACEAE,Jan,May,X,X,X,X,X,,,,,,,,,,,,,,,
Pseudognaphalium microcephalum,,,17 records,Wright's cudweed,,Perennial herb,native,ASTERACEAE,Aug,Nov,,,,,,,,X,X,X,X,,,,,,,,,
Pseudognaphalium ramosissimum,,,6 records,Pink cudweed,,Biennial herb,native,ASTERACEAE,Jun,Sep,,,,,,X,X,X,X,,,,,,,,,,,
Pseudognaphalium stramineum,,,4 records,Cottonbatting plant,,Perennial herb,native,ASTERACEAE,Jul,Oct,,,,,,,X,X,X,X,,,,,,,,,,
Quercus agrifolia,,X,162 records,Coast live oak,,Tree,native,FAGACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Quercus berberidifolia,,X,115 records,Inland scrub oak,,Tree,native,FAGACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Quercus lobata,,X,52 records,Valley oak,,Tree,native,FAGACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Ribes aureum,,X,14 records,Golden currant,,Shrub,native,GROSSULARIACEAE,Jan,Mar,X,X,X,,,,,,,,,,,,,,,,,
Ribes speciosum,,X,110 records,Fuchsia flowered gooseberry,,Shrub,native,GROSSULARIACEAE,Jan,Feb,X,X,,,,,,,,,,,,,,,,,,
Rosa californica,,X,97 records,California wild rose,,Shrub,native,ROSACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
