Taxon,TSN,Collecting,Calflora-Records,Common Name,Dispersal,Lifeform,Status,Family,start-bloom,end-bloom,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,
Arctostaphylos manzanita,,,1 record,Common manzanita,,Shrub,native,ERICACEAE,Jan,Mar,X,X,X,,,,,,,,,,,,,,,,,
Arctostaphylos pringlei,,,1 record,Pringle manzanita,,Shrub,native,ERICACEAE,Jan,Mar,X,X,X,,,,,,,,,,,,,,,,,
Argemone munita,,,7 records,Prickly poppy,,"Annual, Perennial herb",native,PAPAVERACEAE,Aug,Aug,,,,,,,,X,,,,,,,,,,,,
Aristida adscensionis,,,9 records,Three awn,,Annual grass,native,POACEAE,Jan,Nov,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,
Artemisia dracunculus,,,20 records,Tarragon,,Perennial herb,native,ASTERACEAE,Aug,Oct,,,,,,,,X,X,X,,,,,,,,,,
Arthrocnemum subterminale,,,1 record,Parish's glasswort,,Perennial herb,native,CHENOPODIACEAE,Apr,Sep,,,,X,X,X,X,X,X,,,,,,,,,,,
Asclepias californica,,X,10 records,California milkweed,,Perennial herb,native,APOCYNACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Aspidotis californica,,,71 records,California lace fern,,Fern,native,PTERIDACEAE,,,,,,,,,,,,,,,,,,,,,,
Asplenium vespertinum,,,3 records,Western spleenwort,,Fern,native,ASPLENIACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Astragalus didymocarpus,,,3 records,Dwarf white milk vetch,,Annual herb,native,FABACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Astragalus didymocarpus var. didymocarpus,,,1 record,Common dwarf milkvetch,,Annual herb,native,FABACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Astragalus gambelianus,,,7 records,Loco weed,,Annual herb,native,FABACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Astragalus pycnostachyus var. lanosissimus,,,1 record,Ventura marsh milk vetch,,Perennial herb,native,FABACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Astragalus tener var. titi,,,1 record,Coastal dunes milk vetch,,Annual herb,native,FABACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Astragalus trichopodus var. lonchus,,,28 records,Southern california milkvetch,,Perennial herb,native,FABACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Astragalus trichopodus var. phoxus,,,28 records,Santa barbara milk vetch,,Perennial herb,native,FABACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Astragalus trichopodus var. trichopodus,,,3 records,Santa barbara milk vetch,,Perennial herb,native,FABACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Athyrium filix-femina var. cyclosorum,,,1 record,Western lady fern,,Fern,native,WOODSIACEAE,,,,,,,,,,,,,,,,,,,,,,
Athysanus pusillus,,,9 records,Dwarf athysanus,,Annual herb,native,BRASSICACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Atriplex canescens,,,1 record,Hoary saltbush,,Shrub,native,CHENOPODIACEAE,Jun,Jul,,,,,,X,X,,,,,,,,,,,,,
Atriplex canescens var. canescens,,,1 record,Fourwing saltbush,,Shrub,native,CHENOPODIACEAE,Mar,Oct,,,X,X,X,X,X,X,X,X,,,,,,,,,,
Atriplex coulteri,,,4 records,Coulter's saltbush,,Perennial herb,native,CHENOPODIACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Atriplex dioica,,,1 record,Spike saltbush,,Annual herb,native,CHENOPODIACEAE,Apr,Oct,,,,X,X,X,X,X,X,X,,,,,,,,,,
Atriplex lentiformis,,,34 records,Big saltbush,,Shrub,native,CHENOPODIACEAE,Apr,Oct,,,,X,X,X,X,X,X,X,,,,,,,,,,
Atriplex leucophylla,,,15 records,Sea scale,,Perennial herb,native,CHENOPODIACEAE,Jul,Nov,,,,,,,X,X,X,X,X,,,,,,,,,
Atriplex serenana,,,2 records,Saltscale,,Annual herb,native,CHENOPODIACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Atriplex serenana var. davidsonii,,,2 records,Davidson's saltscale,,Annual herb,native,CHENOPODIACEAE,Apr,Oct,,,,X,X,X,X,X,X,X,,,,,,,,,,
Atriplex serenana var. serenana,,,1 record,Saltscale,,Annual herb,native,CHENOPODIACEAE,Apr,Oct,,,,X,X,X,X,X,X,X,,,,,,,,,,
Atriplex watsonii,,,1 record,Watson's saltbush,,Perennial herb,native,CHENOPODIACEAE,Mar,Oct,,,X,X,X,X,X,X,X,X,,,,,,,,,,
Azolla filiculoides,,,9 records,Mosquito fern,,Fern,native,AZOLLACEAE,,,,,,,,,,,,,,,,,,,,,,
Baccharis glutinosa,,,3 records,Salt Marsh baccharis,,Perennial herb,native,ASTERACEAE,Sep,Jan,X,,,,,,,,X,X,X,X,,,,,,,,
Baccharis malibuensis,,,22 records,Malibu baccharis,,Shrub,native,ASTERACEAE,Aug,Aug,,,,,,,,X,,,,,,,,,,,,
Baccharis pilularis ssp. consanguinea,,,6 records,Coyote brush,,Shrub,native,ASTERACEAE,Jun,Jun,,,,,,X,,,,,,,,,,,,,,
Baccharis pilularis ssp. pilularis,,,1 record,Coyote brush,,Shrub,native,ASTERACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Baccharis plummerae,,,30 records,Plummer's baccharis,,Shrub,native,ASTERACEAE,Oct,Jan,X,,,,,,,,,X,X,X,,,,,,,,
Baccharis plummerae ssp. plummerae,,,8 records,Plummer's baccharis,,Shrub,native,ASTERACEAE,Oct,Jan,X,,,,,,,,,X,X,X,,,,,,,,
Baccharis salicifolia ssp. salicifolia,,,5 records,Mule fat,,Shrub,native,ASTERACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Baccharis salicina,,,1 record,Willow baccharis,,Shrub,native,ASTERACEAE,Aug,Dec,,,,,,,,X,X,X,X,X,,,,,,,,
Barbarea orthoceras,,,23 records,Winter cress,,Perennial herb,native,BRASSICACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Batis maritima,,,,Saltwort,,Shrub,native,BATACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Berberis pinnata,,,6 records,Shiny leaf mahonia,,Shrub,native,BERBERIDACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Berberis pinnata ssp. pinnata,,,5 records,Coast barberry,,Shrub,native,BERBERIDACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Berula erecta,,,4 records,Cut leaved water parsnip,,Perennial herb,native,APIACEAE,Jul,Aug,,,,,,,X,X,,,,,,,,,,,,
Bidens frondosa,,,7 records,Sticktight,,Annual herb,native,ASTERACEAE,Aug,Sep,,,,,,,,X,X,,,,,,,,,,,
Bidens laevis,,,1 record,Bur marigold,,Perennial herb,native,ASTERACEAE,Aug,Sep,,,,,,,,X,X,,,,,,,,,,,
Bloomeria crocea,,,77 records,Golden stars,,Perennial herb,native,THEMIDACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Bloomeria crocea var. crocea,,,8 records,Common goldenstar,,Perennial herb,native,THEMIDACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Boechera californica,,,2 records,California rockcress,,Perennial herb,native,BRASSICACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Bolboschoenus maritimus,,,3 records,Alkali bulrush,,Perennial grasslike herb,native,CYPERACEAE,Aug,Sep,,,,,,,,X,X,,,,,,,,,,,
Bolboschoenus maritimus ssp. paludosus,,,,Saltmarsh bulrush,,Perennial grasslike herb,native,CYPERACEAE,Aug,Sep,,,,,,,,X,X,,,,,,,,,,,
Bolboschoenus robustus,,,4 records,Sturdy bullrush,,Perennial grasslike herb,native,CYPERACEAE,Aug,Sep,,,,,,,,X,X,,,,,,,,,,,
Bothriochloa barbinodis,,,23 records,Beard grass,,Perennial grass,native,POACEAE,Feb,Sep,,X,X,X,X,X,X,X,X,,,,,,,,,,,
Bowlesia incana,,,14 records,Bowlesia,,Annual herb,native,APIACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Boykinia occidentalis,,,4 records,Western boykinia,,Perennial herb,native,SAXIFRAGACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Boykinia rotundifolia,,,11 records,Round leaved boykinia,,Perennial herb,native,SAXIFRAGACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Brickellia californica,,,77 records,California brickellia,,Perennial herb,native,ASTERACEAE,Aug,Nov,,,,,,,,X,X,X,X,,,,,,,,,
Brickellia microphylla,,,1 record,Little leaved brickellia,,Shrub,native,ASTERACEAE,Jul,Oct,,,,,,,X,X,X,X,,,,,,,,,,
Brickellia nevinii,,,26 records,Nevin's brickellia,,Shrub,native,ASTERACEAE,Aug,Nov,,,,,,,,X,X,X,X,,,,,,,,,
Brodiaea jolonensis,,,12 records,Jolon brodiaea,,Perennial herb,native,THEMIDACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Brodiaea minor,,,1 record,Low brodiaea,,Perennial herb,native,THEMIDACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Brodiaea terrestris,,,4 records,Dwarf brodiaea,,Perennial herb,native,THEMIDACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Brodiaea terrestris ssp. kernensis,,,10 records,Kern dwarf brodiaea,,Perennial herb,native,THEMIDACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Bromus arizonicus,,,4 records,Arizona brome,,Annual grass,native,POACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Bromus carinatus,,,39 records,California bromegrass,,Perennial grass,native,POACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Bromus carinatus var. carinatus,,,5 records,California brome,,Perennial grass,native,POACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Bromus carinatus var. marginatus,,,2 records,Mountain brome,,Perennial grass,native,POACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Bromus grandis,,,1 record,Tall brome,,Perennial grass,native,POACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Bromus laevipes,,,7 records,Narrow flowered brome,,"Annual, Perennial grass",native,POACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Bromus pseudolaevipes,,,6 records,Southern chinook brome,,Perennial grass,native,POACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Calandrinia breweri,,,35 records,Brewer's calandrinia,,Annual herb,native,MONTIACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
California macrophylla,,,4 records,Round leaved filaree,,Annual herb,native,GERANIACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Callitriche marginata,,,1 record,Winged water starwort,,Annual herb (aquatic),native,PLANTAGINACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Calocedrus decurrens,,,4 records,Incense cedar,,Tree,native,CUPRESSACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Calochortus albus,,,54 records,White fairy lantern,,Perennial herb,native,LILIACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Calochortus clavatus,,,69 records,Club haired mariposa,,Perennial herb,native,LILIACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Calochortus clavatus var. clavatus,,,7 records,Club haired mariposa lily,,Perennial herb (bulb),native,LILIACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Calochortus clavatus var. gracilis,,,10 records,Slender mariposa lily,,Perennial herb (bulb),native,LILIACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Calochortus clavatus var. pallidus,,,7 records,Pale yellow mariposa,,Perennial herb,native,LILIACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Calochortus plummerae,,,68 records,Plummer's mariposa lily,,Perennial herb (bulb),native,LILIACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Calochortus splendens,,,22 records,Splendid mariposa,,Perennial herb,native,LILIACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Calochortus venustus,,,10 records,Butterfly mariposa lily,,Perennial herb,native,LILIACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Calyptridium monandrum,,,16 records,Common pussypaws,,Annual herb,native,MONTIACEAE,Jan,Jul,X,X,X,X,X,X,X,,,,,,,,,,,,,
Calystegia macrostegia,,,87 records,Island morning glory,,"Perennial herb, Vine",native,CONVOLVULACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Calystegia macrostegia ssp. cyclostegia,,,32 records,Coast morning glory,,"Perennial herb, Vine",native,CONVOLVULACEAE,Feb,Jul,,X,X,X,X,X,X,,,,,,,,,,,,,
Calystegia macrostegia ssp. intermedia,,,21 records,South coast morning glory,,"Perennial herb, Vine",native,CONVOLVULACEAE,Apr,Sep,,,,X,X,X,X,X,X,,,,,,,,,,,
Calystegia macrostegia ssp. macrostegia,,,3 records,Island morning glory,,"Perennial herb, Vine",native,CONVOLVULACEAE,Feb,Jul,,X,X,X,X,X,X,,,,,,,,,,,,,
Calystegia malacophylla ssp. pedicellata,,,1 record,Jepson's morning glory,,Perennial herb,native,CONVOLVULACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Calystegia purpurata,,,3 records,Smooth western morning glory,,Perennial herb,native,CONVOLVULACEAE,Feb,Jul,,X,X,X,X,X,X,,,,,,,,,,,,,
Calystegia purpurata ssp. purpurata,,,1 record,Smooth western morning glory,,Perennial herb,native,CONVOLVULACEAE,Jul,Aug,,,,,,,X,X,,,,,,,,,,,,
Calystegia soldanella,,,7 records,Beach morning glory,,Perennial herb,native,CONVOLVULACEAE,Apr,Sep,,,,X,X,X,X,X,X,,,,,,,,,,,
Camissonia campestris ssp. campestris,,,1 record,Field sun cup,,Annual herb,native,ONAGRACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Camissonia contorta,,,1 record,Contorted sun cup,,Annual herb,native,ONAGRACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Camissonia strigulosa,,,5 records,Contorted primrose,,Annual herb,native,ONAGRACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Camissoniopsis bistorta,,,33 records,California sun cup,,Annual herb,native,ONAGRACEAE,Jan,Aug,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Camissoniopsis cheiranthifolia,,,19 records,Beach evening-primrose,,Perennial herb,native,ONAGRACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Camissoniopsis cheiranthifolia ssp. suffruticosa,,,1 record,Shrubby beach primrose,,Perennial herb,native,ONAGRACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Camissoniopsis hirtella,,,27 records,Hairy sun cup,,Annual herb,native,ONAGRACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Camissoniopsis ignota,,,17 records,Jurupa hills sun cup,,Annual herb,native,ONAGRACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Camissoniopsis intermedia,,,4 records,Intermediate sun cups,,Annual herb,native,ONAGRACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Camissoniopsis lewisii,,,33 records,Lewis' evening-primrose,,Annual herb,native,ONAGRACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Camissoniopsis micrantha,,,9 records,Spencer primrose,,Annual herb,native,ONAGRACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Camissoniopsis pallida,,,49 records,Pale yellow sun cup,,Annual herb,native,ONAGRACEAE,Jan,Aug,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Cardamine californica,,,58 records,Bitter cress,,Perennial herb,native,BRASSICACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Cardamine oligosperma,,,3 records,Idaho bittercress,,"Annual, Perennial herb",native,BRASSICACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Cardionema ramosissimum,,,3 records,Sand mat,,Perennial herb,native,CARYOPHYLLACEAE,Apr,Aug,,,,X,X,X,X,X,,,,,,,,,,,,
Carex barbarae,,,2 records,Valley sedge,,Perennial grasslike herb,native,CYPERACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Carex globosa,,,5 records,Round fruit sedge,,Perennial grasslike herb,native,CYPERACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Carex nudata,,,2 records,Torrent sedge,,Perennial grasslike herb,native,CYPERACEAE,,,,,,,,,,,,,,,,,,,,,,
Carex praegracilis,,,11 records,Field sedge,,Perennial grasslike herb,native,CYPERACEAE,,,,,,,,,,,,,,,,,,,,,,
Carex scopulorum,,,1 record,Mountain sedge,,Perennial grasslike herb,native,CYPERACEAE,,,,,,,,,,,,,,,,,,,,,,
Carex scopulorum var. bracteosa,,,1 record,Bracted sedge,,Perennial grasslike herb,native,CYPERACEAE,,,,,,,,,,,,,,,,,,,,,,
Carex senta,,,22 records,Rough sedge,,Perennial grasslike herb,native,CYPERACEAE,,,,,,,,,,,,,,,,,,,,,,
Carex spissa,,,8 records,San Diego sedge,,Perennial grasslike herb,native,CYPERACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Carex triquetra,,,4 records,Triangular fruit sedge,,Perennial grasslike herb,native,CYPERACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Castilleja affinis,,,65 records,Indian paintbrush,,Perennial herb,native,OROBANCHACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Castilleja affinis ssp. affinis,,,16 records,Coast indian paintbrush,,Perennial herb,native,OROBANCHACEAE,May,Sep,,,,,X,X,X,X,X,,,,,,,,,,,
Castilleja applegatei,,,6 records,Wavy leaf paintbrush,,Perennial herb,native,OROBANCHACEAE,Jun,Jun,,,,,,X,,,,,,,,,,,,,,
Castilleja applegatei ssp. martinii,,,5 records,Martin's paintbrush,,Perennial herb,native,OROBANCHACEAE,Jul,Sep,,,,,,,X,X,X,,,,,,,,,,,
Castilleja applegatei ssp. pinetorum,,,1 record,Pine wavy leaf paintbrush,,Perennial herb,native,OROBANCHACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Castilleja attenuata,,,1 record,Narrow leaved owl's clover,,Annual herb,native,OROBANCHACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Castilleja chromosa,,,4 records,Desert paintbrush,,Perennial herb,native,OROBANCHACEAE,Jun,Jun,,,,,,X,,,,,,,,,,,,,,
Castilleja densiflora,,,1 record,Dense flower owl's clover,,Annual herb,native,OROBANCHACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Castilleja densiflora ssp. densiflora,,,1 record,Dense flower owl's clover,,Annual herb,native,OROBANCHACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Castilleja exserta,,,48 records,Owl's clover,,Annual herb,native,OROBANCHACEAE,Mar,Sep,,,X,X,X,X,X,X,X,,,,,,,,,,,
Castilleja exserta ssp. exserta,,,40 records,Purple owl's clover,,Annual herb,native,OROBANCHACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Castilleja exserta ssp. venusta,,,1 record,Purple owl's clover,,Annual herb,native,OROBANCHACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Castilleja foliolosa,,,29 records,Texas paintbrush,,Perennial herb,native,OROBANCHACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Castilleja minor,,,2 records,Little paintbrush,,Annual herb,native,OROBANCHACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Castilleja minor ssp. spiralis,,,13 records,Lesser paintbrush,,Annual herb,native,OROBANCHACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Castilleja subinclusa ssp. franciscana,,,1 record,Franciscan paintbrush,,Perennial herb,native,OROBANCHACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Caulanthus heterophyllus,,,18 records,Slender pod jewelflower,,Annual herb,native,BRASSICACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Caulanthus lasiophyllus,,,36 records,California mustard,,Annual herb,native,BRASSICACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Ceanothus arboreus,,,1 record,Island ceanothus,,Shrub,native,RHAMNACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Ceanothus crassifolius,,,44 records,Hoary leaved ceanothus,,Shrub,native,RHAMNACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Ceanothus crassifolius var. crassifolius,,,,Hoary leaved ceanothus,,Shrub,native,RHAMNACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Ceanothus cuneatus,,,37 records,Buck brush,,Shrub,native,RHAMNACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Ceanothus cuneatus var. cuneatus,,,10 records,Buck brush,,Shrub,native,RHAMNACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Ceanothus integerrimus,,,2 records,Deer brush,,Shrub,native,RHAMNACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Ceanothus leucodermis,,,18 records,Chaparral whitethorn,,Shrub,native,RHAMNACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Ceanothus megacarpus,,,157 records,Big pod ceanothus,,Shrub,native,RHAMNACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Ceanothus megacarpus var. megacarpus,,,40 records,Big pod ceanothus,,Shrub,native,RHAMNACEAE,Mar,Apr,,,X,X,,,,,,,,,,,,,,,,
Ceanothus oliganthus,,,48 records,Hairy ceanothus,,Shrub,native,RHAMNACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Ceanothus oliganthus var. oliganthus,,,10 records,Hairy ceanothus,,Shrub,native,RHAMNACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Ceanothus spinosus,,,179 records,Greenbark ceanothus,,"Tree, Shrub",native,RHAMNACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Cercis occidentalis,,,2 records,Western redbud,,"Tree, Shrub",native,FABACEAE,Feb,Apr,,X,X,X,,,,,,,,,,,,,,,,
Cercocarpus betuloides,,,105 records,Birch leaf mountain mahogany,,"Tree, Shrub",native,ROSACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Cercocarpus betuloides var. betuloides,,,27 records,Birch leaf mountain mahogany,,"Tree, Shrub",native,ROSACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Cercocarpus betuloides var. blancheae,,,14 records,Island mountain mahogany,,Shrub,native,ROSACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Chaenactis artemisiifolia,,,72 records,Artemisia leaved chaenactis,,Annual herb,native,ASTERACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Chaenactis glabriuscula,,,24 records,Common yellow chaenactis,,Annual herb,native,ASTERACEAE,Jan,Aug,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Chaenactis glabriuscula var. glabriuscula,,,12 records,Common yellow chaenactis,,Annual herb,native,ASTERACEAE,Jan,Aug,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Chaenactis glabriuscula var. lanosa,,,2 records,Pincushion flower,,Annual herb,native,ASTERACEAE,Jan,Aug,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Chaenactis glabriuscula var. orcuttiana,,,2 records,Orcutt's yellow chaenactis,,Annual herb,native,ASTERACEAE,Jan,Aug,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Chamaebatia australis,,,2 records,Southern mountain misery,,Shrub,native,ROSACEAE,Nov,May,X,X,X,X,,,,,,,X,X,,,,,,,,
Chenopodium berlandieri,,,13 records,Pit seed goosefoot,,Annual herb,native,CHENOPODIACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Chenopodium californicum,,,57 records,California goosefoot,,Perennial herb,native,CHENOPODIACEAE,Jul,Aug,,,,,,,X,X,,,,,,,,,,,,
Chenopodium rubrum,,,1 record,Red goosefoot,,Annual herb,native,CHENOPODIACEAE,Aug,Sep,,,,,,,,X,X,,,,,,,,,,,
Chlorogalum parviflorum,,,2 records,Small flowered soaproot,,Perennial herb,native,AGAVACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Chlorogalum pomeridianum,,,56 records,Amole,,Perennial herb,native,AGAVACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Chlorogalum pomeridianum var. pomeridianum,,,15 records,Common soaproot,,Perennial herb,native,AGAVACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Chloropyron maritimum ssp. maritimum,,,1 record,Salt marsh bird's-beak,,Annual herb,native,OROBANCHACEAE,Jun,Sep,,,,,,X,X,X,X,,,,,,,,,,,
Chloropyron molle,,,5 records,Soft bird's beak,,Annual herb,native,OROBANCHACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Chorizanthe parryi var. fernandina,,,7 records,San fernando valley spineflower,,Annual herb,native,POLYGONACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Chorizanthe parryi var. parryi,,,2 records,Parry's spineflower,,Annual herb,native,POLYGONACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Chorizanthe staticoides,,,100 records,Turkish rugging,,Annual herb,native,POLYGONACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Cirsium brevistylum,,,1 record,Indian thistle,,Perennial herb,native,ASTERACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Cirsium occidentale,,,52 records,Western thistle,,Perennial herb,native,ASTERACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Cirsium occidentale var. californicum,,,35 records,California thistle,,Perennial herb,native,ASTERACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Cirsium occidentale var. coulteri,,,1 record,Coulter's thistle,,Perennial herb,native,ASTERACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Cirsium occidentale var. occidentale,,,12 records,Cobweb thistle,,Perennial herb,native,ASTERACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Cirsium occidentale var. venustum,,,2 records,Coulter's thistle,,Perennial herb,native,ASTERACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Cistanthe ambigua,,,1 record,Desert cistanthe,,Annual herb,native,MONTIACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Clarkia amoena,,,1 record,Farewell to spring,,Annual herb,native,ONAGRACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Clarkia amoena ssp. whitneyi,,,1 record,Farewell to spring,,Annual herb,native,ONAGRACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Clarkia bottae,,,80 records,Punch bowl godetia,,Annual herb,native,ONAGRACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Clarkia cylindrica,,,32 records,Speckled clarkia,,Annual herb,native,ONAGRACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Clarkia cylindrica ssp. cylindrica,,,12 records,Speckled clarkia,,Annual herb,native,ONAGRACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Clarkia dudleyana,,,3 records,Dudley's clarkia,,Annual herb,native,ONAGRACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
